              table_name               | table_type 
 site_vendor_assignments               | BASE TABLE
 site_vendor_assignments_view          | VIEW
 sites                                 | BASE TABLE
 sites_view                            | VIEW
 slow_operations                       | VIEW
 statuses                              | BASE TABLE
 storages                              | BASE TABLE
 storages_file_links_journals          | BASE TABLE
 task_assignment_history               | BASE TABLE
 tasks                                 | BASE TABLE
 tasks_with_details                    | VIEW
 time_entries                          | BASE TABLE
 time_entry_activities_projects        | BASE TABLE
 time_entry_journals                   | BASE TABLE
 tokens                                | BASE TABLE
 trial_balance_snapshots               | BASE TABLE
 two_factor_authentication_devices     | BASE TABLE
 types                                 | BASE TABLE
 user_passwords                        | BASE TABLE
 user_preferences                      | BASE TABLE
 user_profiles                         | BASE TABLE
 users                                 | BASE TABLE
 vendor_invoices                       | BASE TABLE
 vendor_invoices_view                  | VIEW
 vendors                               | BASE TABLE
 vendors_view                          | VIEW
 version_settings                      | BASE TABLE
 versions                              | BASE TABLE
 views                                 | BASE TABLE
 watchers                              | BASE TABLE
 webhook_retry_jobs                    | BASE TABLE
 webhooks_events                       | BASE TABLE
 webhooks_logs                         | BASE TABLE
 webhooks_projects                     | BASE TABLE
 webhooks_webhooks                     | BASE TABLE
 wiki_page_journals                    | BASE TABLE
 wiki_pages                            | BASE TABLE
 wiki_redirects                        | BASE TABLE
 wikis                                 | BASE TABLE
 work_package_hierarchies              | BASE TABLE
 work_package_journals                 | BASE TABLE
 work_packages                         | BASE TABLE
 workflows                             | BASE TABLE
(225 rows)

